,date,sitename,value,fips
17130,2020-04-14,Pembroke Exchange St,1.0,33013
17131,2020-04-14,Portsmouth,0.0,33015
17132,2020-04-14,Londonderry - Moose Hill,0.0,33015
17133,2020-04-14,Brigantine,0.0,34001
17134,2020-04-14,Camden Spruce St,0.0,34007
17135,2020-04-14,Newark Firehouse,0.0,34013
17136,2020-04-14,Bayonne,0.0,34017
17137,2020-04-14,Jersey City,1.0,34017
17138,2020-04-14,Chester,0.0,34027
17139,2020-04-14,Elizabeth,0.0,34039
17140,2020-04-14,Elizabeth Trailer,0.0,34039
17141,2020-04-14,Columbia,0.0,34041
17142,2020-04-14,Bloomfield,0.0,35045
17143,2020-04-14,Substation,0.0,35045
17144,2020-04-14,BAYVIEW,0.0,37013
17145,2020-04-14,Southport DRR,8.0,37019
17146,2020-04-14,Skyland DRR,0.0,37021
17147,2020-04-14,LENOIR,0.0,37027
17148,2020-04-14,Durham Armory,0.0,37063
17149,2020-04-14,HATTIEAVEN,0.0,37067
17150,2020-04-14,Canton DRR,0.0,37087
17151,2020-04-14,Semora DRR,0.0,37145
17152,2020-04-14,BETHANY,0.0,37157
17153,2020-04-14,Millbrook NCore,0.0,37183
17154,2020-04-14,Lostwood NWR,3.0,38013
17155,2020-04-14,Bismarck Residential,0.0,38015
17156,2020-04-14,Fargo NW,1.0,38017
17157,2020-04-14,TRNP-NU,0.0,38053
17158,2020-04-14,Beulah North,2.0,38057
17159,2020-04-14,Hannover,1.0,38065
17160,2020-04-14,RYDER,0.0,38101
17161,2020-04-14,West Union,0.0,39001
17162,2020-04-14,Lima,0.0,39003
17163,2020-04-14,Conneaut,0.0,39007
17164,2020-04-14,Shadyside PSD,0.0,39013
17165,2020-04-14,Amanda  Elementary,0.0,39017
17166,2020-04-14,Yankee Road,0.0,39017
17167,2020-04-14,Made,1.0,39017
17168,2020-04-14,Mud Run,0.0,39023
17169,2020-04-14,East Liverpool,1.0,39029
17170,2020-04-14,St Theodosius,0.0,39035
17171,2020-04-14,Fire Station 13,2.0,39035
17172,2020-04-14,G.T.Craig,0.0,39035
17173,2020-04-14,Harvard Yards,0.0,39035
17174,2020-04-14,Columbus - Fairgrounds,0.0,39049
17175,2020-04-14,Cheshire,1.0,39053
17176,2020-04-14,Colerain,1.0,39061
17177,2020-04-14,Taft,0.0,39061
17178,2020-04-14,Steubenville,0.0,39081
17179,2020-04-14,Eastlake,0.0,39085
17180,2020-04-14,Painesville - JFS,0.0,39085
17181,2020-04-14,Ironton - ODOT,0.0,39087
17182,2020-04-14,Youngstown - Oakhill,2.0,39099
17183,2020-04-14,Hackney,0.0,39115
17184,2020-04-14,East High School,0.0,39153
17185,2020-04-14,Akron NIFH/STEM,0.0,39153
17186,2020-04-14,Kremlin,0.0,40047
17187,2020-04-14,Ponca City,0.0,40071
17188,2020-04-14,Pryor,0.0,40097
17189,2020-04-14,Ft. Gibson,0.0,40101
17190,2020-04-14,North OKC,0.0,40109
17191,2020-04-14,Tulsa 0175,0.0,40143
17192,2020-04-14,Tulsa 0179,0.0,40143
17193,2020-04-14,Tulsa 0235,0.0,40143
17194,2020-04-14,Tulsa,0.0,40143
17195,2020-04-14,Portland - SE Lafayette,0.0,41051
17196,2020-04-14,NEW,0.0,42101
17197,2020-04-14,RIT,0.0,42101
17198,2020-04-14,E Providence,0.0,44007
17199,2020-04-14,Jenkins Avenue,0.0,45019
17200,2020-04-14,Cape Romain,0.0,45019
17201,2020-04-14,Greenville-ESC,0.0,45045
17202,2020-04-14,Irmo,0.0,45063
17203,2020-04-14,Parklane,0.0,45079
17204,2020-04-14,York Landfill,0.0,45091
17205,2020-04-14,Eastman Ross N Robinson,0.0,47163
17206,2020-04-14,Skyland Drive,0.0,47163
17207,2020-04-14,Underhill,0.0,50007
17208,2020-04-14,RUTLAND,0.0,50021
17209,2020-04-14,SHIRLEY PLANTATION,0.0,51036
17210,2020-04-14,FRANCONIA,0.0,51059
17211,2020-04-14,MATH & SCIENCE CTR,0.0,51087
17212,2020-04-14,EAST VINTON ELEMENTARY SCHOOL,0.0,51161
17213,2020-04-14,Rockingham,0.0,51165
17214,2020-04-14,HAMPTON,0.0,51650
17215,2020-04-14,NORFOLK - NOAA,0.0,51710
17216,2020-04-14,Cheeka Peak,0.0,53009
17217,2020-04-14,Seattle-Beacon Hill,0.0,53033
17218,2020-04-14,Anacortes-202 Ave (SO-AQS),0.0,53057
17219,2020-04-14,Bean,1.0,54057
17220,2020-04-14,GREEN BAY E HIGH,0.0,55009
17221,2020-04-14,MADISON EAST,0.0,55025
17222,2020-04-14,Horicon Wildlife Area,0.0,55027
17223,2020-04-14,POTAWATOMI ,0.0,55041
17224,2020-04-14,MILWAUKEE SER DNR,0.0,55079
17225,2020-04-14,RHINELANDER,0.0,55085
17226,2020-04-14,Sinclair In-Town,0.0,56007
17227,2020-04-14,Cheyenne NCore,0.0,56021
17228,2020-04-14,Moxa Arch,0.0,56037
17229,2020-04-14,Long Beach Signal Hill,0.0,84006
17230,2020-04-14,KS Hawaii,0.0,84015
17231,2020-04-14,East Chicago - Marina,0.0,84018
17232,2020-04-14,Reno4,0.0,84032
17233,2020-04-14,Lake Ilo,0.0,84038
17234,2020-04-14,Andrew Johnson Elem.,0.0,84047
17235,2020-04-14,Happy Hill,0.0,84047
17236,2020-04-14,Kaukauna,0.0,84055
17237,2020-04-14,Laramie County Mobile,0.0,84056
17238,2020-04-14,James Town Mobile,0.0,84056
17239,2020-04-14,Seedskadee,0.0,84056
17240,2020-04-15,NCore,3.0,02090
17241,2020-04-15,Miami Jones Ranch,3.0,04007
17242,2020-04-15,Miami Town Site,3.0,04007
17243,2020-04-15,Hayden,1.0,04007
17244,2020-04-15,Phoenix JLG Supersite,1.0,04013
17245,2020-04-15,Oakland West,0.0,06001
17246,2020-04-15,Concord,0.0,06013
17247,2020-04-15,Richmond - 7th St,0.0,06013
17248,2020-04-15,Bethel Island,1.0,06013
17249,2020-04-15,San Pablo - Rumrill,0.0,06013
17250,2020-04-15,Calexico - Ethel Street,0.0,06025
17251,2020-04-15,NCore - White Mountain Research Station - OVL,0.0,06027
17252,2020-04-15,Los Angeles - N. Main Street,0.0,06037
17253,2020-04-15,LAX-Hastings,0.0,06037
17254,2020-04-15,Riverside - Rubidoux,0.0,06065
17255,2020-04-15,Arden Arcade - Del Paso Manor,0.0,06067
17256,2020-04-15,Fontana - Arrow Highway,0.0,06071
17257,2020-04-15,Mesa 2 /Nipomo,0.0,06079
17258,2020-04-15,Vallejo,0.0,06095
17259,2020-04-15,Welby - 78th Ave. & Steele St.,0.0,08001
17260,2020-04-15,Denver - CAMP - 2105 Broadway,0.0,08031
17261,2020-04-15,La Casa NCORE - 4545 Navajo St.,0.0,08031
17262,2020-04-15,Colorado Springs - Highway 24,0.0,08041
17263,2020-04-15,Bridgeport,0.0,09001
17264,2020-04-15,Cornwall,0.0,09005
17265,2020-04-15,New Haven - Criscuolo Park,0.0,09009
17266,2020-04-15,LUMS 2,0.0,10003
17267,2020-04-15,Rte 9 Del. City,0.0,10003
17268,2020-04-15,BELLFNT2,0.0,10003
17269,2020-04-15,MLK,1.0,10003
17270,2020-04-15,McMillan NCORE,0.0,11001
17271,2020-04-15,NCORE,0.0,12011
17272,2020-04-15,Crystal River Preserve,0.0,12017
17273,2020-04-15,Kooker Park,0.0,12031
17274,2020-04-15,Cedar Bay,0.0,12031
17275,2020-04-15,EAST BAY,0.0,12057
17276,2020-04-15,APOLLO BEACH,0.0,12057
17277,2020-04-15,DAVIS ISLAND,0.0,12057
17278,2020-04-15,Port Manatee,0.0,12081
17279,2020-04-15,FBHWWTP,0.0,12089
17280,2020-04-15,Winter Park,0.0,12095
17281,2020-04-15,Sikes Elementary School,1.0,12105
17282,2020-04-15,Macon Forestry,0.0,13021
17283,2020-04-15,Savannah East President,1.0,13051
17284,2020-04-15,Savannah L&A,0.0,13051
17285,2020-04-15,South DeKalb,0.0,13089
17286,2020-04-15,Rome-Kraftsman,1.0,13115
17287,2020-04-15,Augusta,0.0,13245
